0.00.318.843 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.424.319 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-Q4_K_M.gguf'
0.39.896.873 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.39.933.382 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.39.933.439 I srv  llama_server: model loaded
0.39.933.447 I srv  llama_server: listening on http://0.0.0.0:8091
0.40.019.200 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
7.03.368.516 I slot print_timing: id  1 | task 2920 | prompt eval time =    1053.37 ms /    23 tokens (   45.80 ms per token,    21.83 tokens per second)
7.03.368.525 I slot print_timing: id  1 | task 2920 |        eval time =    3584.60 ms /    42 tokens (   85.35 ms per token,    11.72 tokens per second)
7.03.368.527 I slot print_timing: id  1 | task 2920 |       total time =    4637.97 ms /    65 tokens
7.03.368.528 I slot print_timing: id  1 | task 2920 |    graphs reused =       2682
7.03.368.614 I slot      release: id  1 | task 2920 | stop processing: n_tokens = 531, truncated = 0
7.03.405.439 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
7.03.405.808 I slot launch_slot_: id  1 | task 2964 | processing task, is_child = 0
7.08.058.091 I slot print_timing: id  1 | task 2964 | prompt eval time =    1066.16 ms /    23 tokens (   46.35 ms per token,    21.57 tokens per second)
7.08.058.099 I slot print_timing: id  1 | task 2964 |        eval time =    3586.05 ms /    42 tokens (   85.38 ms per token,    11.71 tokens per second)
7.08.058.100 I slot print_timing: id  1 | task 2964 |       total time =    4652.22 ms /    65 tokens
7.08.058.103 I slot print_timing: id  1 | task 2964 |    graphs reused =       2722
7.08.058.426 I slot      release: id  1 | task 2964 | stop processing: n_tokens = 531, truncated = 0
7.08.098.406 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
7.08.098.817 I slot launch_slot_: id  1 | task 3008 | processing task, is_child = 0
7.12.772.693 I slot print_timing: id  1 | task 3008 | prompt eval time =    1072.89 ms /    23 tokens (   46.65 ms per token,    21.44 tokens per second)
7.12.772.701 I slot print_timing: id  1 | task 3008 |        eval time =    3600.93 ms /    42 tokens (   85.74 ms per token,    11.66 tokens per second)
7.12.772.703 I slot print_timing: id  1 | task 3008 |       total time =    4673.81 ms /    65 tokens
7.12.772.704 I slot print_timing: id  1 | task 3008 |    graphs reused =       2762
7.12.772.796 I slot      release: id  1 | task 3008 | stop processing: n_tokens = 531, truncated = 0
7.12.809.542 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.923
7.12.809.958 I slot launch_slot_: id  1 | task 3052 | processing task, is_child = 0
7.17.476.944 I slot print_timing: id  1 | task 3052 | prompt eval time =    1079.06 ms /    23 tokens (   46.92 ms per token,    21.31 tokens per second)
7.17.476.952 I slot print_timing: id  1 | task 3052 |        eval time =    3587.86 ms /    42 tokens (   85.43 ms per token,    11.71 tokens per second)
7.17.476.954 I slot print_timing: id  1 | task 3052 |       total time =    4666.92 ms /    65 tokens
7.17.476.955 I slot print_timing: id  1 | task 3052 |    graphs reused =       2802
7.17.477.052 I slot      release: id  1 | task 3052 | stop processing: n_tokens = 531, truncated = 0
7.17.515.505 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 177325562338
7.18.000.117 I slot launch_slot_: id  0 | task 3096 | processing task, is_child = 0
7.18.000.222 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 940.770 MiB)
7.18.068.316 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1379.145 MiB)
7.18.171.543 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 4223.792 MiB)
7.30.070.959 I slot print_timing: id  0 | task 3096 | prompt eval time =    1081.80 ms /    31 tokens (   34.90 ms per token,    28.66 tokens per second)
7.30.070.967 I slot print_timing: id  0 | task 3096 |        eval time =    4545.82 ms /    53 tokens (   85.77 ms per token,    11.66 tokens per second)
7.30.070.968 I slot print_timing: id  0 | task 3096 |       total time =    5627.63 ms /    84 tokens
7.30.070.970 I slot print_timing: id  0 | task 3096 |    graphs reused =       2853
7.30.071.321 I slot      release: id  0 | task 3096 | stop processing: n_tokens = 587, truncated = 0
7.30.120.040 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.911
7.30.120.789 I slot launch_slot_: id  0 | task 3151 | processing task, is_child = 0
7.35.722.408 I slot print_timing: id  0 | task 3151 | prompt eval time =    1017.82 ms /    31 tokens (   32.83 ms per token,    30.46 tokens per second)
7.35.722.416 I slot print_timing: id  0 | task 3151 |        eval time =    4583.73 ms /    53 tokens (   86.49 ms per token,    11.56 tokens per second)
7.35.722.446 I slot print_timing: id  0 | task 3151 |       total time =    5601.55 ms /    84 tokens
7.35.722.448 I slot print_timing: id  0 | task 3151 |    graphs reused =       2904
7.35.722.743 I slot      release: id  0 | task 3151 | stop processing: n_tokens = 587, truncated = 0
7.35.764.549 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.911
7.35.765.327 I slot launch_slot_: id  0 | task 3206 | processing task, is_child = 0
7.41.363.727 I slot print_timing: id  0 | task 3206 | prompt eval time =    1051.94 ms /    31 tokens (   33.93 ms per token,    29.47 tokens per second)
7.41.363.736 I slot print_timing: id  0 | task 3206 |        eval time =    4546.40 ms /    53 tokens (   85.78 ms per token,    11.66 tokens per second)
7.41.363.738 I slot print_timing: id  0 | task 3206 |       total time =    5598.33 ms /    84 tokens
7.41.363.739 I slot print_timing: id  0 | task 3206 |    graphs reused =       2955
7.41.363.841 I slot      release: id  0 | task 3206 | stop processing: n_tokens = 587, truncated = 0
7.41.404.654 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.911
7.41.405.402 I slot launch_slot_: id  0 | task 3261 | processing task, is_child = 0
7.46.970.616 I slot print_timing: id  0 | task 3261 | prompt eval time =    1017.70 ms /    31 tokens (   32.83 ms per token,    30.46 tokens per second)
7.46.970.625 I slot print_timing: id  0 | task 3261 |        eval time =    4547.46 ms /    53 tokens (   85.80 ms per token,    11.65 tokens per second)
7.46.970.626 I slot print_timing: id  0 | task 3261 |       total time =    5565.15 ms /    84 tokens
7.46.970.628 I slot print_timing: id  0 | task 3261 |    graphs reused =       3006
7.46.970.769 I slot      release: id  0 | task 3261 | stop processing: n_tokens = 587, truncated = 0
7.47.009.555 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.911
7.47.010.072 I slot launch_slot_: id  0 | task 3316 | processing task, is_child = 0
7.52.572.412 I slot print_timing: id  0 | task 3316 | prompt eval time =    1016.36 ms /    31 tokens (   32.79 ms per token,    30.50 tokens per second)
7.52.572.420 I slot print_timing: id  0 | task 3316 |        eval time =    4545.93 ms /    53 tokens (   85.77 ms per token,    11.66 tokens per second)
7.52.572.422 I slot print_timing: id  0 | task 3316 |       total time =    5562.28 ms /    84 tokens
7.52.572.423 I slot print_timing: id  0 | task 3316 |    graphs reused =       3057
7.52.572.519 I slot      release: id  0 | task 3316 | stop processing: n_tokens = 587, truncated = 0
7.52.610.698 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.960 (> 0.100 thold), f_keep = 0.864
7.52.611.225 I slot launch_slot_: id  0 | task 3371 | processing task, is_child = 0
7.57.210.019 I slot print_timing: id  0 | task 3371 | prompt eval time =    1013.59 ms /    24 tokens (   42.23 ms per token,    23.68 tokens per second)
7.57.210.027 I slot print_timing: id  0 | task 3371 |        eval time =    3585.15 ms /    42 tokens (   85.36 ms per token,    11.71 tokens per second)
7.57.210.029 I slot print_timing: id  0 | task 3371 |       total time =    4598.74 ms /    66 tokens
7.57.210.030 I slot print_timing: id  0 | task 3371 |    graphs reused =       3097
7.57.210.121 I slot      release: id  0 | task 3371 | stop processing: n_tokens = 569, truncated = 0
7.57.248.336 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
7.57.248.826 I slot launch_slot_: id  0 | task 3415 | processing task, is_child = 0
8.01.927.511 I slot print_timing: id  0 | task 3415 | prompt eval time =    1077.25 ms /    24 tokens (   44.89 ms per token,    22.28 tokens per second)
8.01.927.522 I slot print_timing: id  0 | task 3415 |        eval time =    3601.38 ms /    42 tokens (   85.75 ms per token,    11.66 tokens per second)
8.01.927.523 I slot print_timing: id  0 | task 3415 |       total time =    4678.63 ms /    66 tokens
8.01.927.525 I slot print_timing: id  0 | task 3415 |    graphs reused =       3137
8.01.927.621 I slot      release: id  0 | task 3415 | stop processing: n_tokens = 569, truncated = 0
8.01.965.613 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
8.01.966.131 I slot launch_slot_: id  0 | task 3459 | processing task, is_child = 0
8.06.584.892 I slot print_timing: id  0 | task 3459 | prompt eval time =    1029.45 ms /    24 tokens (   42.89 ms per token,    23.31 tokens per second)
8.06.584.900 I slot print_timing: id  0 | task 3459 |        eval time =    3589.26 ms /    42 tokens (   85.46 ms per token,    11.70 tokens per second)
8.06.584.902 I slot print_timing: id  0 | task 3459 |       total time =    4618.70 ms /    66 tokens
8.06.584.903 I slot print_timing: id  0 | task 3459 |    graphs reused =       3177
8.06.585.002 I slot      release: id  0 | task 3459 | stop processing: n_tokens = 569, truncated = 0
8.06.622.943 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
8.06.623.434 I slot launch_slot_: id  0 | task 3503 | processing task, is_child = 0
8.11.241.049 I slot print_timing: id  0 | task 3503 | prompt eval time =    1026.14 ms /    24 tokens (   42.76 ms per token,    23.39 tokens per second)
8.11.241.057 I slot print_timing: id  0 | task 3503 |        eval time =    3591.42 ms /    42 tokens (   85.51 ms per token,    11.69 tokens per second)
8.11.241.059 I slot print_timing: id  0 | task 3503 |       total time =    4617.56 ms /    66 tokens
8.11.241.060 I slot print_timing: id  0 | task 3503 |    graphs reused =       3217
8.11.241.152 I slot      release: id  0 | task 3503 | stop processing: n_tokens = 569, truncated = 0
8.11.279.252 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
8.11.279.752 I slot launch_slot_: id  0 | task 3547 | processing task, is_child = 0
8.15.913.511 I slot print_timing: id  0 | task 3547 | prompt eval time =    1043.28 ms /    24 tokens (   43.47 ms per token,    23.00 tokens per second)
8.15.913.521 I slot print_timing: id  0 | task 3547 |        eval time =    3590.42 ms /    42 tokens (   85.49 ms per token,    11.70 tokens per second)
8.15.913.522 I slot print_timing: id  0 | task 3547 |       total time =    4633.70 ms /    66 tokens
8.15.913.524 I slot print_timing: id  0 | task 3547 |    graphs reused =       3257
8.15.913.618 I slot      release: id  0 | task 3547 | stop processing: n_tokens = 569, truncated = 0
8.15.956.231 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 177350194510
8.15.956.849 I slot launch_slot_: id  3 | task 3591 | processing task, is_child = 0
8.22.625.637 I slot print_timing: id  3 | task 3591 | prompt processing, n_tokens =    503, progress = 0.95, t =   3.86 s / 130.22 tokens per second
8.24.611.244 I slot print_timing: id  3 | task 3591 | prompt processing, n_tokens =    523, progress = 0.99, t =   5.85 s / 89.43 tokens per second
8.28.137.200 I slot print_timing: id  3 | task 3591 | prompt eval time =    6648.37 ms /   527 tokens (   12.62 ms per token,    79.27 tokens per second)
8.28.137.209 I slot print_timing: id  3 | task 3591 |        eval time =    2725.92 ms /    32 tokens (   85.19 ms per token,    11.74 tokens per second)
8.28.137.210 I slot print_timing: id  3 | task 3591 |       total time =    9374.29 ms /   559 tokens
8.28.137.212 I slot print_timing: id  3 | task 3591 |    graphs reused =       3287
8.28.137.524 I slot      release: id  3 | task 3591 | stop processing: n_tokens = 558, truncated = 0
8.28.178.168 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.944
8.28.178.697 I slot launch_slot_: id  3 | task 3627 | processing task, is_child = 0
8.31.933.847 I slot print_timing: id  3 | task 3627 | prompt eval time =    1050.75 ms /    24 tokens (   43.78 ms per token,    22.84 tokens per second)
8.31.933.855 I slot print_timing: id  3 | task 3627 |        eval time =    2704.34 ms /    32 tokens (   84.51 ms per token,    11.83 tokens per second)
8.31.933.856 I slot print_timing: id  3 | task 3627 |       total time =    3755.09 ms /    56 tokens
8.31.933.858 I slot print_timing: id  3 | task 3627 |    graphs reused =       3317
8.31.933.964 I slot      release: id  3 | task 3627 | stop processing: n_tokens = 558, truncated = 0
8.31.973.023 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.944
8.31.973.572 I slot launch_slot_: id  3 | task 3661 | processing task, is_child = 0
8.35.692.571 I slot print_timing: id  3 | task 3661 | prompt eval time =    1012.24 ms /    24 tokens (   42.18 ms per token,    23.71 tokens per second)
8.35.692.579 I slot print_timing: id  3 | task 3661 |        eval time =    2706.70 ms /    32 tokens (   84.58 ms per token,    11.82 tokens per second)
8.35.692.580 I slot print_timing: id  3 | task 3661 |       total time =    3718.93 ms /    56 tokens
8.35.692.582 I slot print_timing: id  3 | task 3661 |    graphs reused =       3347
8.35.692.913 I slot      release: id  3 | task 3661 | stop processing: n_tokens = 558, truncated = 0
8.35.735.745 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.944
8.35.736.346 I slot launch_slot_: id  3 | task 3695 | processing task, is_child = 0
8.39.456.763 I slot print_timing: id  3 | task 3695 | prompt eval time =    1015.07 ms /    24 tokens (   42.29 ms per token,    23.64 tokens per second)
8.39.456.913 I slot print_timing: id  3 | task 3695 |        eval time =    2705.27 ms /    32 tokens (   84.54 ms per token,    11.83 tokens per second)
8.39.456.918 I slot print_timing: id  3 | task 3695 |       total time =    3720.35 ms /    56 tokens
8.39.456.919 I slot print_timing: id  3 | task 3695 |    graphs reused =       3377
8.39.457.027 I slot      release: id  3 | task 3695 | stop processing: n_tokens = 558, truncated = 0
8.39.496.011 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.944
8.39.496.534 I slot launch_slot_: id  3 | task 3729 | processing task, is_child = 0
8.43.213.509 I slot print_timing: id  3 | task 3729 | prompt eval time =    1012.20 ms /    24 tokens (   42.18 ms per token,    23.71 tokens per second)
8.43.213.517 I slot print_timing: id  3 | task 3729 |        eval time =    2704.68 ms /    32 tokens (   84.52 ms per token,    11.83 tokens per second)
8.43.213.518 I slot print_timing: id  3 | task 3729 |       total time =    3716.88 ms /    56 tokens
8.43.213.519 I slot print_timing: id  3 | task 3729 |    graphs reused =       3407
8.43.213.619 I slot      release: id  3 | task 3729 | stop processing: n_tokens = 558, truncated = 0
8.43.253.130 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.960 (> 0.100 thold), f_keep = 0.907
8.43.253.643 I slot launch_slot_: id  3 | task 3763 | processing task, is_child = 0
8.47.871.414 I slot print_timing: id  3 | task 3763 | prompt eval time =    1017.69 ms /    24 tokens (   42.40 ms per token,    23.58 tokens per second)
8.47.871.423 I slot print_timing: id  3 | task 3763 |        eval time =    3600.03 ms /    42 tokens (   85.71 ms per token,    11.67 tokens per second)
8.47.871.425 I slot print_timing: id  3 | task 3763 |       total time =    4617.71 ms /    66 tokens
8.47.871.426 I slot print_timing: id  3 | task 3763 |    graphs reused =       3447
8.47.871.524 I slot      release: id  3 | task 3763 | stop processing: n_tokens = 568, truncated = 0
8.47.910.566 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
8.47.911.104 I slot launch_slot_: id  3 | task 3807 | processing task, is_child = 0
8.52.541.420 I slot print_timing: id  3 | task 3807 | prompt eval time =    1050.05 ms /    24 tokens (   43.75 ms per token,    22.86 tokens per second)
8.52.541.456 I slot print_timing: id  3 | task 3807 |        eval time =    3580.20 ms /    42 tokens (   85.24 ms per token,    11.73 tokens per second)
8.52.541.458 I slot print_timing: id  3 | task 3807 |       total time =    4630.26 ms /    66 tokens
8.52.541.459 I slot print_timing: id  3 | task 3807 |    graphs reused =       3487
8.52.541.558 I slot      release: id  3 | task 3807 | stop processing: n_tokens = 568, truncated = 0
8.52.580.828 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
8.52.581.410 I slot launch_slot_: id  3 | task 3851 | processing task, is_child = 0
8.57.211.652 I slot print_timing: id  3 | task 3851 | prompt eval time =    1052.01 ms /    24 tokens (   43.83 ms per token,    22.81 tokens per second)
8.57.211.660 I slot print_timing: id  3 | task 3851 |        eval time =    3578.17 ms /    42 tokens (   85.19 ms per token,    11.74 tokens per second)
8.57.211.662 I slot print_timing: id  3 | task 3851 |       total time =    4630.17 ms /    66 tokens
8.57.211.663 I slot print_timing: id  3 | task 3851 |    graphs reused =       3527
8.57.212.016 I slot      release: id  3 | task 3851 | stop processing: n_tokens = 568, truncated = 0
8.57.255.258 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
8.57.255.918 I slot launch_slot_: id  3 | task 3895 | processing task, is_child = 0
9.01.960.064 I slot print_timing: id  3 | task 3895 | prompt eval time =    1128.04 ms /    24 tokens (   47.00 ms per token,    21.28 tokens per second)
9.01.960.072 I slot print_timing: id  3 | task 3895 |        eval time =    3576.02 ms /    42 tokens (   85.14 ms per token,    11.74 tokens per second)
9.01.960.080 I slot print_timing: id  3 | task 3895 |       total time =    4704.06 ms /    66 tokens
9.01.960.082 I slot print_timing: id  3 | task 3895 |    graphs reused =       3567
9.01.960.186 I slot      release: id  3 | task 3895 | stop processing: n_tokens = 568, truncated = 0
9.01.999.059 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.928
9.01.999.615 I slot launch_slot_: id  3 | task 3939 | processing task, is_child = 0
9.06.645.689 I slot print_timing: id  3 | task 3939 | prompt eval time =    1070.77 ms /    24 tokens (   44.62 ms per token,    22.41 tokens per second)
9.06.645.697 I slot print_timing: id  3 | task 3939 |        eval time =    3575.24 ms /    42 tokens (   85.12 ms per token,    11.75 tokens per second)
9.06.645.698 I slot print_timing: id  3 | task 3939 |       total time =    4646.01 ms /    66 tokens
9.06.645.700 I slot print_timing: id  3 | task 3939 |    graphs reused =       3607
9.06.645.841 I slot      release: id  3 | task 3939 | stop processing: n_tokens = 568, truncated = 0
9.06.686.078 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 177401710820
9.06.686.764 I slot launch_slot_: id  2 | task 3983 | processing task, is_child = 0
9.06.686.861 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 4222.730 MiB)
9.12.461.660 I slot print_timing: id  2 | task 3983 | prompt processing, n_tokens =    440, progress = 0.77, t =   3.40 s / 129.58 tokens per second
9.13.184.015 I slot print_timing: id  2 | task 3983 | prompt processing, n_tokens =    530, progress = 0.93, t =   4.12 s / 128.70 tokens per second
9.15.147.760 I slot print_timing: id  2 | task 3983 | prompt processing, n_tokens =    568, progress = 0.99, t =   6.08 s / 93.39 tokens per second
9.25.116.231 I slot print_timing: id  2 | task 3983 | prompt eval time =    7078.31 ms /   572 tokens (   12.37 ms per token,    80.81 tokens per second)
9.25.116.240 I slot print_timing: id  2 | task 3983 |        eval time =    8971.95 ms /   100 tokens (   89.72 ms per token,    11.15 tokens per second)
9.25.116.242 I slot print_timing: id  2 | task 3983 |       total time =   16050.25 ms /   672 tokens
9.25.116.243 I slot print_timing: id  2 | task 3983 |    graphs reused =       3705
9.25.116.683 I slot      release: id  2 | task 3983 | stop processing: n_tokens = 671, truncated = 0
9.25.167.114 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.852
9.25.167.797 I slot launch_slot_: id  2 | task 4087 | processing task, is_child = 0
9.35.126.976 I slot print_timing: id  2 | task 4087 | prompt eval time =    1263.50 ms /    42 tokens (   30.08 ms per token,    33.24 tokens per second)
9.35.126.985 I slot print_timing: id  2 | task 4087 |        eval time =    8695.62 ms /   100 tokens (   86.96 ms per token,    11.50 tokens per second)
9.35.126.987 I slot print_timing: id  2 | task 4087 |       total time =    9959.12 ms /   142 tokens
9.35.126.988 I slot print_timing: id  2 | task 4087 |    graphs reused =       3803
9.35.127.152 I slot      release: id  2 | task 4087 | stop processing: n_tokens = 671, truncated = 0
9.35.166.496 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.852
9.35.167.137 I slot launch_slot_: id  2 | task 4189 | processing task, is_child = 0
9.45.095.815 I slot print_timing: id  2 | task 4189 | prompt eval time =    1294.81 ms /    42 tokens (   30.83 ms per token,    32.44 tokens per second)
9.45.095.823 I slot print_timing: id  2 | task 4189 |        eval time =    8633.78 ms /   100 tokens (   86.34 ms per token,    11.58 tokens per second)
9.45.095.824 I slot print_timing: id  2 | task 4189 |       total time =    9928.59 ms /   142 tokens
9.45.095.825 I slot print_timing: id  2 | task 4189 |    graphs reused =       3901
9.45.096.184 I slot      release: id  2 | task 4189 | stop processing: n_tokens = 671, truncated = 0
9.45.139.056 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.852
9.45.139.632 I slot launch_slot_: id  2 | task 4291 | processing task, is_child = 0
9.54.987.509 I slot print_timing: id  2 | task 4291 | prompt eval time =    1214.48 ms /    42 tokens (   28.92 ms per token,    34.58 tokens per second)
9.54.987.517 I slot print_timing: id  2 | task 4291 |        eval time =    8633.32 ms /   100 tokens (   86.33 ms per token,    11.58 tokens per second)
9.54.987.518 I slot print_timing: id  2 | task 4291 |       total time =    9847.80 ms /   142 tokens
9.54.987.520 I slot print_timing: id  2 | task 4291 |    graphs reused =       3999
9.54.987.956 I slot      release: id  2 | task 4291 | stop processing: n_tokens = 671, truncated = 0
9.55.030.729 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.852
9.55.031.387 I slot launch_slot_: id  2 | task 4393 | processing task, is_child = 0
10.04.991.466 I slot print_timing: id  2 | task 4393 | prompt eval time =    1273.15 ms /    42 tokens (   30.31 ms per token,    32.99 tokens per second)
10.04.991.489 I slot print_timing: id  2 | task 4393 |        eval time =    8686.85 ms /   100 tokens (   86.87 ms per token,    11.51 tokens per second)
10.04.991.491 I slot print_timing: id  2 | task 4393 |       total time =    9960.00 ms /   142 tokens
10.04.991.492 I slot print_timing: id  2 | task 4393 |    graphs reused =       4097
10.04.991.855 I slot      release: id  2 | task 4393 | stop processing: n_tokens = 671, truncated = 0
10.05.034.452 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.929 (> 0.100 thold), f_keep = 0.797
10.05.035.110 I slot launch_slot_: id  2 | task 4495 | processing task, is_child = 0
10.13.606.718 I slot print_timing: id  2 | task 4495 | prompt eval time =    1335.30 ms /    46 tokens (   29.03 ms per token,    34.45 tokens per second)
10.13.606.725 I slot print_timing: id  2 | task 4495 |        eval time =    7236.23 ms /    84 tokens (   86.15 ms per token,    11.61 tokens per second)
10.13.606.727 I slot print_timing: id  2 | task 4495 |       total time =    8571.53 ms /   130 tokens
10.13.606.728 I slot print_timing: id  2 | task 4495 |    graphs reused =       4179
10.13.607.145 I slot      release: id  2 | task 4495 | stop processing: n_tokens = 659, truncated = 0
10.13.649.832 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.874
10.13.650.498 I slot launch_slot_: id  2 | task 4581 | processing task, is_child = 0
10.22.252.351 I slot print_timing: id  2 | task 4581 | prompt eval time =    1275.10 ms /    46 tokens (   27.72 ms per token,    36.08 tokens per second)
10.22.252.359 I slot print_timing: id  2 | task 4581 |        eval time =    7326.67 ms /    84 tokens (   87.22 ms per token,    11.46 tokens per second)
10.22.252.362 I slot print_timing: id  2 | task 4581 |       total time =    8601.78 ms /   130 tokens
10.22.252.363 I slot print_timing: id  2 | task 4581 |    graphs reused =       4261
10.22.252.740 I slot      release: id  2 | task 4581 | stop processing: n_tokens = 659, truncated = 0
10.22.295.129 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.874
10.22.295.750 I slot launch_slot_: id  2 | task 4667 | processing task, is_child = 0
10.30.825.764 I slot print_timing: id  2 | task 4667 | prompt eval time =    1294.66 ms /    46 tokens (   28.14 ms per token,    35.53 tokens per second)
10.30.825.772 I slot print_timing: id  2 | task 4667 |        eval time =    7235.27 ms /    84 tokens (   86.13 ms per token,    11.61 tokens per second)
10.30.825.774 I slot print_timing: id  2 | task 4667 |       total time =    8529.93 ms /   130 tokens
10.30.825.775 I slot print_timing: id  2 | task 4667 |    graphs reused =       4343
10.30.826.152 I slot      release: id  2 | task 4667 | stop processing: n_tokens = 659, truncated = 0
10.30.868.540 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.874
10.30.869.188 I slot launch_slot_: id  2 | task 4753 | processing task, is_child = 0
10.39.382.094 I slot print_timing: id  2 | task 4753 | prompt eval time =    1276.80 ms /    46 tokens (   27.76 ms per token,    36.03 tokens per second)
10.39.382.102 I slot print_timing: id  2 | task 4753 |        eval time =    7236.03 ms /    84 tokens (   86.14 ms per token,    11.61 tokens per second)
10.39.382.103 I slot print_timing: id  2 | task 4753 |       total time =    8512.83 ms /   130 tokens
10.39.382.130 I slot print_timing: id  2 | task 4753 |    graphs reused =       4425
10.39.382.495 I slot      release: id  2 | task 4753 | stop processing: n_tokens = 659, truncated = 0
10.39.424.972 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.874
10.39.425.593 I slot launch_slot_: id  2 | task 4839 | processing task, is_child = 0
10.47.944.594 I slot print_timing: id  2 | task 4839 | prompt eval time =    1277.14 ms /    46 tokens (   27.76 ms per token,    36.02 tokens per second)
10.47.944.601 I slot print_timing: id  2 | task 4839 |        eval time =    7241.79 ms /    84 tokens (   86.21 ms per token,    11.60 tokens per second)
10.47.944.603 I slot print_timing: id  2 | task 4839 |       total time =    8518.93 ms /   130 tokens
10.47.944.604 I slot print_timing: id  2 | task 4839 |    graphs reused =       4507
10.47.944.728 I slot      release: id  2 | task 4839 | stop processing: n_tokens = 659, truncated = 0
10.47.984.426 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 177431303125
10.48.417.311 I slot launch_slot_: id  1 | task 4925 | processing task, is_child = 0
10.58.527.605 I slot print_timing: id  1 | task 4925 | prompt eval time =    1324.65 ms /    50 tokens (   26.49 ms per token,    37.75 tokens per second)
10.58.527.614 I slot print_timing: id  1 | task 4925 |        eval time =    6557.51 ms /    76 tokens (   86.28 ms per token,    11.59 tokens per second)
10.58.527.615 I slot print_timing: id  1 | task 4925 |       total time =    7882.16 ms /   126 tokens
10.58.527.617 I slot print_timing: id  1 | task 4925 |    graphs reused =       4581
